,generation,best_fitness,min_fitness,average_fitness,std_fitness,test_fitness,experiment_id,repetition,config,count_better,count_worse
80,30,0.16837957998114989,7.827902127537426e-05,0.07178900945169181,0.04805332286406485,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
81,31,0.16837957998114989,0.00048318135702285925,0.06542030197222762,0.0451080704380081,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
82,32,0.16837957998114989,5.2901385276787945e-05,0.06445762792782495,0.044042516793499416,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
83,33,0.16837957998114989,5.514778287443675e-06,0.061776334744720475,0.04145257802060077,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
84,34,0.16837957998114989,1.2040300767436537e-05,0.06684582035590295,0.04225503890534517,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
85,35,0.16837957998114989,7.256214972115208e-05,0.06972257234838815,0.042112145785825464,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
86,36,0.16837957998114989,0.00021625346711387603,0.07393595299414411,0.042329386492408305,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
87,37,0.16837957998114989,7.827902127537426e-05,0.07540163939184583,0.043938142235848986,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
88,38,0.16837957998114989,3.803410188467457e-05,0.07159777617724575,0.04340549014917982,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
89,39,0.16837957998114989,0.0002188766282482655,0.07352968999695383,0.04235636774162925,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
90,40,0.16837957998114989,4.09297286671355e-05,0.0698125574997174,0.05035456308964935,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
91,41,0.16837957998114989,1.356957979045803e-05,0.07685898286249714,0.05430831178133061,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
92,42,0.16837957998114989,0.00018744445845371883,0.06545875386756714,0.05275324342244002,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
93,43,0.16837957998114989,1.356957979045803e-05,0.0658151353758184,0.05236833272707616,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
94,44,0.16837957998114989,0.00012221647083594456,0.07061691008896993,0.05678158626458063,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
95,45,0.16837957998114989,4.09297286671355e-05,0.06363284696304106,0.047741541463376856,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
